Ticker,Test_Precision,Test_Recall,Win_Rate,Test_Accuracy,Calibrated_Threshold,Train_Size,Test_Size
ISPH.CA,0.8458333333333333,0.8601694915254238,0.8458333333333333,0.803921568627451,0.2978695689052046,1281,357
ETEL.CA,0.8254901960784313,0.7883895131086143,0.8254901960784313,0.7651162790697674,0.5071954679760972,3041,860
HDBK.CA,0.8207024029574861,0.7985611510791367,0.8207024029574861,0.779768177028451,0.4393061977706002,3351,949
GBCO.CA,0.8128654970760234,0.8475609756097561,0.8128654970760234,0.7804878048780488,0.4184140972925014,2758,779
ABUK.CA,0.8003992015968064,0.7509363295880149,0.8003992015968064,0.7481081081081081,0.31884900260603055,3269,925
JUFO.CA,0.8,0.8519480519480519,0.8,0.7964860907759883,0.42855221059835896,2419,683
EFID.CA,0.7987804878048781,0.645320197044335,0.7987804878048781,0.7552447552447552,0.46950752846068344,1534,429
CIEB.CA,0.7869481765834933,0.845360824742268,0.7869481765834933,0.7790973871733967,0.415166277009977,2977,842
COMI.CA,0.7866449511400652,0.8594306049822064,0.7866449511400652,0.7868020304568528,0.3850474771699403,3476,985
CLHO.CA,0.7860082304526749,0.8603603603603603,0.7860082304526749,0.7925,0.33498241034410553,1435,400
MFPC.CA,0.7815126050420168,0.5602409638554217,0.7815126050420168,0.7602905569007264,0.5164162462044849,1474,413
CICH.CA,0.7758620689655172,0.8372093023255814,0.7758620689655172,0.7363636363636363,0.3243627600816182,1190,330
FAIT.CA,0.775092936802974,0.879746835443038,0.775092936802974,0.7961053837342497,0.4386642639947562,3084,873
EAST.CA,0.7672849915682968,0.8333333333333334,0.7672849915682968,0.7516268980477223,0.4062815920091296,3258,922
PHDC.CA,0.7661290322580645,0.8577878103837472,0.7661290322580645,0.767833981841764,0.35876776359550816,2728,771
EXPA.CA,0.7638888888888888,0.8445297504798465,0.7638888888888888,0.7778915046059366,0.4095157845922887,3452,977
HRHO.CA,0.7616099071207431,0.8848920863309353,0.7616099071207431,0.7786802030456853,0.3845373674148351,3480,985
SAUD.CA,0.7606112054329371,0.8175182481751825,0.7606112054329371,0.7391774891774892,0.4515949700068672,3264,924
ORHD.CA,0.7589285714285714,0.8388157894736842,0.7589285714285714,0.7627737226277372,0.538088279775962,1949,548
AMOC.CA,0.7576335877862596,0.8236514522821576,0.7576335877862596,0.7557603686635944,0.4232735908391623,3073,868
OCDI.CA,0.7550274223034735,0.8113948919449901,0.7550274223034735,0.7638603696098563,0.42317613725068937,3440,974
EMFD.CA,0.7490774907749077,0.8458333333333333,0.7490774907749077,0.7712418300653595,0.5060163728698245,1640,459
SKPC.CA,0.7426597582037997,0.8793456032719836,0.7426597582037997,0.7633674630261661,0.336223762263939,3110,879
ADIB.CA,0.7389312977099237,0.8461538461538461,0.7389312977099237,0.7365208545269583,0.3998672448035962,3470,983
SWDY.CA,0.7299813780260708,0.8218029350104822,0.7299813780260708,0.7258641239570918,0.3589937336876506,2969,839
HELI.CA,0.7223065250379362,0.9118773946360154,0.7223065250379362,0.7584388185654009,0.30334757944360036,3353,948
MASR.CA,0.7186963979416809,0.8430583501006036,0.7186963979416809,0.7265536723163842,0.343860949194548,3131,885
FWRY.CA,0.703862660944206,0.9060773480662984,0.703862660944206,0.6982456140350877,0.4557239007968612,1028,285
EFIH.CA,0.6643356643356644,0.9223300970873787,0.6643356643356644,0.6871508379888268,0.3691254417645603,659,179
BTFH.CA,0.6328767123287671,0.8220640569395018,0.6328767123287671,0.6917922948073701,0.3795881597382197,2122,597
EKHO.CA,0.587360594795539,0.8729281767955801,0.587360594795539,0.7064622124863089,0.3809474420106764,3228,913
EGBE.CA,0.5483271375464684,0.7824933687002652,0.5483271375464684,0.6416758544652701,0.35691132275446935,3203,907
