Ticker,Samples_Baseline,Threshold_Baseline,Accuracy_Baseline,Precision_Baseline,Recall_Baseline,F1_Baseline,AUC_Baseline,Samples_Economic,Threshold_Economic,Accuracy_Economic,Precision_Economic,Recall_Economic,F1_Economic,AUC_Economic,Accuracy_Improvement,F1_Improvement,AUC_Improvement
ABUK.CA,5608,0.49000000000000016,0.6942959001782532,0.6625,0.9268680445151033,0.7726971504307488,0.818911501884894,5608,0.3,0.4928698752228164,0.5547445255474452,0.48330683624801274,0.5165675446049278,0.5220334282498702,-0.20142602495543677,-0.256129605825821,-0.29687807363502383
ADIB.CA,5814,0.46000000000000013,0.765262252794497,0.788235294117647,0.806015037593985,0.7970260223048327,0.8511731135066583,5814,0.46000000000000013,0.7472055030094583,0.7806354009077155,0.7759398496240602,0.7782805429864253,0.8286771144729292,-0.018056749785038684,-0.01874547931840731,-0.02249599903372901
AMOC.CA,4710,0.47000000000000014,0.6850477200424178,0.6478318002628121,0.9444444444444444,0.7685113016367888,0.8126427680854743,4710,0.34,0.5535524920466596,0.5536663124335813,0.9980842911877394,0.7122351332877649,0.5433241415713362,-0.1314952279957582,-0.056276168349023936,-0.26931862651413807
BTFH.CA,3538,0.49000000000000016,0.7387005649717514,0.7183908045977011,0.7418397626112759,0.7299270072992701,0.8301646844281635,3538,0.5300000000000002,0.731638418079096,0.723404255319149,0.7062314540059347,0.7147147147147147,0.8246058851288123,-0.007062146892655385,-0.015212292584555365,-0.005558799299351214
CICH.CA,1819,0.31,0.7197802197802198,0.7170418006430869,0.9409282700421941,0.8138686131386861,0.7921193395129407,1819,0.3,0.7307692307692307,0.7178683385579937,0.9662447257383966,0.8237410071942446,0.7875676932788465,0.01098901098901095,0.009872394055558509,-0.004551646234094209
CIEB.CA,4975,0.46000000000000013,0.7720883534136547,0.7954939341421143,0.8080985915492958,0.8017467248908297,0.8453048900881928,4975,0.5200000000000002,0.7520080321285141,0.7977736549165121,0.7570422535211268,0.7768744354110207,0.8359549822298276,-0.02008032128514059,-0.024872289479808907,-0.009349907858365203
CLHO.CA,2183,0.5600000000000003,0.7803203661327232,0.8533333333333334,0.7529411764705882,0.8,0.8712992889463478,2183,0.37000000000000005,0.7963386727688787,0.832,0.8156862745098039,0.8237623762376237,0.8748114630467573,0.016018306636155555,0.023762376237623672,0.003512174100409493
COMI.CA,5843,0.38000000000000006,0.7972626176218991,0.7819650067294751,0.885670731707317,0.8305932809149392,0.8749643417486808,5843,0.4500000000000001,0.7331052181351583,0.8208955223880597,0.6707317073170732,0.738255033557047,0.8401589169400466,-0.06415739948674082,-0.0923382473578922,-0.03480542480863413
EAST.CA,5788,0.4400000000000001,0.7806563039723662,0.7851002865329513,0.8404907975460123,0.8118518518518518,0.8549795096874317,5788,0.35000000000000003,0.731433506044905,0.7051744885679904,0.8987730061349694,0.7902899527983817,0.8304547879434516,-0.049222797927461204,-0.021561899053470168,-0.024524721743980127
EFID.CA,2485,0.4000000000000001,0.7389558232931727,0.7083333333333334,0.816,0.758364312267658,0.8369838709677418,2485,0.3,0.5823293172690763,0.9038461538461539,0.188,0.31125827814569534,0.7994193548387097,-0.15662650602409633,-0.44710603412196265,-0.03756451612903211
EFIH.CA,991,0.46000000000000013,0.7889447236180904,0.7868852459016393,0.8571428571428571,0.8205128205128205,0.8706896551724138,991,0.46000000000000013,0.7738693467336684,0.8316831683168316,0.75,0.7887323943661971,0.8718185550082101,-0.015075376884422065,-0.03178042614662335,0.0011288998357963376
EGBE.CA,5666,0.4100000000000001,0.699294532627866,0.5959183673469388,0.9087136929460581,0.7198027937551356,0.8391384313825319,5666,0.4100000000000001,0.7319223985890653,0.7486033519553073,0.5560165975103735,0.638095238095238,0.7852951658478222,0.032627865961199265,-0.08170755565989751,-0.05384326553470964
EKHO.CA,5178,0.4500000000000001,0.7712355212355212,0.6866537717601547,0.8255813953488372,0.7497360084477297,0.8747524752475246,5178,0.4200000000000001,0.638030888030888,0.5376196990424077,0.913953488372093,0.6770025839793282,0.831606416455599,-0.13320463320463316,-0.07273342446840148,-0.04314605879192568
EMFD.CA,2530,0.3,0.7416173570019724,0.7020057306590258,0.9007352941176471,0.789049919484702,0.8762515644555694,2530,0.4500000000000001,0.7554240631163708,0.7298136645962733,0.8639705882352942,0.7912457912457912,0.8747496871088861,0.013806706114398382,0.002195871761089152,-0.001501877346683278
ETEL.CA,4868,0.38000000000000006,0.7741273100616016,0.781294964028777,0.8887070376432079,0.8315467075038285,0.8436289693543078,4868,0.32,0.7618069815195072,0.7523302263648469,0.9247135842880524,0.8296622613803231,0.8298774082139653,-0.012320328542094416,-0.0018844461235054677,-0.013751561140342483
EXPA.CA,5814,0.37000000000000005,0.7549441100601891,0.7182705718270572,0.8612040133779264,0.7832699619771863,0.8520614437505549,5814,0.37000000000000005,0.7798796216680998,0.7567567567567568,0.842809364548495,0.7974683544303798,0.8537514428626395,0.024935511607910632,0.014198392453193431,0.0016899991120845614
FAIT.CA,5237,0.4000000000000001,0.7977099236641222,0.7628294036061026,0.9306260575296108,0.8384146341463414,0.8772913912924353,5237,0.5100000000000002,0.7471374045801527,0.7383040935672515,0.8544839255499154,0.792156862745098,0.8305545990736318,-0.050572519083969536,-0.04625777140124343,-0.04673679221880345
FWRY.CA,1527,0.31,0.7156862745098039,0.7215686274509804,0.92,0.8087912087912088,0.8185377358490566,1527,0.6300000000000003,0.7156862745098039,0.703971119133574,0.975,0.8176100628930818,0.8129716981132075,0.0,0.008818854101872997,-0.005566037735849183
GBCO.CA,4455,0.33,0.7903587443946188,0.779874213836478,0.9134438305709024,0.8413910093299406,0.867719925913027,4455,0.39000000000000007,0.7567264573991032,0.8543478260869565,0.7237569060773481,0.7836490528414756,0.8614457513442775,-0.03363228699551568,-0.05774195648846503,-0.006274174568749569
HDBK.CA,5752,0.4000000000000001,0.7602085143353605,0.7462871287128713,0.8946587537091988,0.8137651821862348,0.8629509359311722,5752,0.4500000000000001,0.7506516072980017,0.8319039451114922,0.7195845697329377,0.771678599840891,0.8277127695973225,-0.009556907037358786,-0.04208658234534379,-0.035238166333849685
HELI.CA,5843,0.5600000000000003,0.7690333618477331,0.845841784989858,0.6824877250409165,0.7554347826086957,0.8624353988115142,5843,0.5600000000000003,0.7450812660393499,0.8614318706697459,0.6104746317512275,0.7145593869731801,0.8500167185822642,-0.0239520958083832,-0.040875395635515566,-0.012418680229249968
HRHO.CA,5796,0.4400000000000001,0.7965517241379311,0.7846607669616519,0.8553054662379421,0.8184615384615385,0.8786502348820808,5796,0.49000000000000016,0.7491379310344828,0.8116760828625236,0.6929260450160771,0.7476149176062445,0.8407075150312577,-0.04741379310344829,-0.07084662085529392,-0.03794271985082309
ISPH.CA,1932,0.35000000000000003,0.7622739018087855,0.7727272727272727,0.9153846153846154,0.8380281690140845,0.8586008479709266,1932,0.3,0.7390180878552972,0.7401812688821753,0.9423076923076923,0.8291032148900169,0.8483343428225318,-0.023255813953488302,-0.008924954124067574,-0.010266505148394778
JUFO.CA,3739,0.4300000000000001,0.803475935828877,0.7982646420824295,0.8720379146919431,0.8335220838052095,0.8742622045183613,3739,0.5200000000000002,0.7847593582887701,0.8461538461538461,0.7559241706161137,0.7984981226533167,0.8651760532666531,-0.018716577540106916,-0.03502396115189288,-0.009086151251708197
MASR.CA,5478,0.38000000000000006,0.7591240875912408,0.7310443490701002,0.8705281090289608,0.7947122861586314,0.8550218720609941,5478,0.32,0.7290145985401459,0.7526132404181185,0.7359454855195912,0.7441860465116279,0.8129344708366942,-0.030109489051094895,-0.050526239647003535,-0.04208740122429988
MFPC.CA,2242,0.3,0.6681514476614699,0.5525423728813559,0.9055555555555556,0.6863157894736842,0.8453738124741843,2242,0.31,0.7171492204899778,0.7431192660550459,0.45,0.5605536332179931,0.781722428748451,0.04899777282850781,-0.1257621562556911,-0.06365138372573331
OCDI.CA,5883,0.39000000000000007,0.7221750212404418,0.6844106463878327,0.8737864077669902,0.767590618336887,0.8316399488221571,5883,0.35000000000000003,0.7051826677994902,0.6626650660264105,0.8932038834951457,0.760854583046175,0.8271039940717069,-0.016992353440951513,-0.006736035290711984,-0.004535954750450211
ORHD.CA,3189,0.37000000000000005,0.7633228840125392,0.7334801762114538,0.9173553719008265,0.8151774785801713,0.8731379914850991,3189,0.4300000000000001,0.6394984326018809,0.6125211505922166,0.9972451790633609,0.7589098532494759,0.8485048835462059,-0.12382445141065834,-0.0562676253306954,-0.024633107938893173
PHDC.CA,4277,0.4500000000000001,0.7745327102803738,0.7886497064579256,0.8258196721311475,0.8068068068068068,0.8592691999287241,4277,0.48000000000000015,0.7757009345794392,0.8288888888888889,0.764344262295082,0.7953091684434968,0.8594640947968639,0.001168224299065379,-0.011497638363310081,0.0001948948681398388
SAUD.CA,5671,0.4500000000000001,0.7744493392070485,0.7735583684950773,0.8527131782945736,0.8112094395280236,0.8458345198544535,5671,0.4500000000000001,0.7691629955947137,0.7879699248120301,0.8124031007751938,0.8,0.8373453567473501,-0.005286343612334821,-0.011209439528023557,-0.008489163107103348
SKPC.CA,4971,0.3,0.7587939698492462,0.7307132459970888,0.9012567324955116,0.8070739549839229,0.8593451546526973,4971,0.5400000000000003,0.7618090452261307,0.8478260869565217,0.7001795332136446,0.7669616519174042,0.856344736561652,0.0030150753768845018,-0.040112303066518695,-0.0030004180910453426
SWDY.CA,4749,0.4400000000000001,0.7357894736842105,0.7481884057971014,0.7866666666666666,0.7669452181987001,0.8274957983193276,4749,0.32,0.7357894736842105,0.7245901639344262,0.8419047619047619,0.7788546255506608,0.8213960784313725,0.0,0.011909407351960666,-0.006099719887955102
