Ticker,Sector,Model_A_F1,Model_B_F1,F1_Lift,P_Value
CLHO.CA,Healthcare,0.1623616236162361,0.716374269005848,3.4122142477405637,0.0184512517646775
CICH.CA,Financial Services,0.2649006622516556,0.7887788778877888,1.9776402640264024,7.853965551540831e-05
JUFO.CA,Consumer,0.2475442043222004,0.7297527706734868,1.947969525974641,7.165743554082836e-10
JUFO.CA,Food & Beverage,0.2475442043222004,0.7297527706734868,1.947969525974641,7.165743554082836e-10
CIEB.CA,Banking,0.3579952267303102,0.7246006389776358,1.0240511182108627,1.630223733783964e-09
ABUK.CA,Industrial,0.254320987654321,0.343921139101862,0.3523112751092632,0.0
ABUK.CA,Chemicals,0.254320987654321,0.343921139101862,0.3523112751092632,0.0
MASR.CA,Real Estate,0.4946695095948827,0.5922165820642978,0.1971964525351538,8.212305398602737e-06
HRHO.CA,Financial Services,0.435500515995872,0.4991568296795953,0.1461681705202081,3.252077958482147e-06
EXPA.CA,Banking,0.3247422680412371,0.3351708930540242,0.0321135436901698,5.10702591327572e-15
BTFH.CA,Financial Services,0.6262626262626263,0.6379310344827587,0.0186318131256952,0.0
