Ticker,Model_A_Precision,Model_B_Precision,Model_A_Recall,Model_B_Recall,Model_A_F1,Model_B_F1,F1_Lift,Significant,Lift_Pct
CLHO.CA,0.88,0.5593607305936074,0.089430894308943,0.9959349593495936,0.1623616236162361,0.716374269005848,3.4122142477405637,True,341.2%
CICH.CA,0.6349206349206349,0.6512261580381471,0.1673640167364016,1.0,0.2649006622516556,0.7887788778877888,1.9776402640264024,True,197.8%
JUFO.CA,0.8873239436619719,0.582312925170068,0.1438356164383561,0.9771689497716894,0.2475442043222004,0.7297527706734868,1.947969525974641,True,194.8%
EMFD.CA,0.6585365853658537,0.4712230215827338,0.1058823529411764,0.5137254901960784,0.1824324324324324,0.4915572232645403,1.6944618164130358,False,169.4%
CIEB.CA,0.5535055350553506,0.5681362725450901,0.2645502645502645,1.0,0.3579952267303102,0.7246006389776358,1.0240511182108627,True,102.4%
ABUK.CA,0.6130952380952381,0.5793357933579336,0.160436137071651,0.2445482866043613,0.254320987654321,0.343921139101862,0.3523112751092632,True,35.2%
PHDC.CA,0.6890243902439024,0.5785797438882422,0.4547283702213279,1.0,0.5478787878787879,0.7330383480825958,0.3379571618764194,False,33.8%
FWRY.CA,0.5546875,0.5868263473053892,0.3604060913705584,0.4974619289340101,0.4369230769230769,0.5384615384615384,0.232394366197183,False,23.2%
MASR.CA,0.6705202312138728,0.5932203389830508,0.3918918918918919,0.5912162162162162,0.4946695095948827,0.5922165820642978,0.1971964525351538,True,19.7%
HRHO.CA,0.6298507462686567,0.5362318840579711,0.3328075709779179,0.4668769716088328,0.435500515995872,0.4991568296795953,0.1461681705202081,True,14.6%
OCDI.CA,0.6200345423143351,0.527448869752422,0.5885245901639344,0.8032786885245902,0.6038687973086627,0.6367771280051981,0.0544958289668253,False,5.4%
EXPA.CA,0.75,0.5083612040133779,0.2072368421052631,0.25,0.3247422680412371,0.3351708930540242,0.0321135436901698,True,3.2%
BTFH.CA,0.7126436781609196,0.4683544303797468,0.5585585585585585,1.0,0.6262626262626263,0.6379310344827587,0.0186318131256952,True,1.9%
SAUD.CA,0.5734388742304309,0.5734388742304309,1.0,1.0,0.7288988261598659,0.7288988261598659,0.0,True,0.0%
ORHD.CA,0.5475819032761311,0.5475819032761311,1.0,1.0,0.7076612903225806,0.7076612903225806,0.0,False,0.0%
ORAS.CA,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,0.0%
SKPC.CA,0.5581162324649298,0.5581162324649298,1.0,1.0,0.7163987138263666,0.7163987138263666,0.0,True,0.0%
FAIT.CA,0.5542857142857143,0.5542857142857143,1.0,1.0,0.7132352941176471,0.7132352941176471,0.0,False,0.0%
ADIB.CA,0.5806174957118353,0.5806174957118353,1.0,1.0,0.7346717308735757,0.7346717308735757,0.0,True,0.0%
ETEL.CA,0.6284544524053224,0.6284544524053224,1.0,1.0,0.7718416090509114,0.7718416090509114,0.0,True,0.0%
EGBE.CA,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,0.0%
COMI.CA,0.5699658703071673,0.5699658703071673,1.0,1.0,0.7260869565217392,0.7260869565217392,0.0,True,0.0%
SWDY.CA,0.5645330535152151,0.5645330535152151,1.0,1.0,0.721663313212609,0.721663313212609,0.0,True,0.0%
AMOC.CA,0.5497881355932204,0.5492063492063493,1.0,1.0,0.709501025290499,0.7090163934426229,-0.0006830601092896,False,-0.1%
EFID.CA,0.5254237288135594,0.512,0.96875,1.0,0.6813186813186813,0.6772486772486772,-0.005973715651135,False,-0.6%
ISPH.CA,0.6623376623376623,0.6538461538461539,1.0,1.0,0.796875,0.7906976744186046,-0.0077519379844961,False,-0.8%
EFIH.CA,0.8428571428571429,0.6666666666666666,0.4573643410852713,0.4961240310077519,0.592964824120603,0.5688888888888889,-0.0406026365348399,True,-4.1%
MFPC.CA,0.4522613065326633,0.4258373205741627,0.962566844919786,0.9518716577540108,0.6153846153846154,0.5884297520661157,-0.043801652892562,True,-4.4%
EKHO.CA,0.5170278637770898,0.4144927536231884,0.7785547785547785,1.0,0.6213953488372093,0.5860655737704918,-0.0568555511926964,True,-5.7%
HDBK.CA,0.5901213171577123,0.6306892067620286,1.0,0.7121879588839941,0.7422343324250681,0.6689655172413793,-0.098713858929566,True,-9.9%
GBCO.CA,0.859375,0.6642335766423357,0.197841726618705,0.1636690647482014,0.3216374269005848,0.2626262626262626,-0.1834710743801651,False,-18.3%
EAST.CA,0.5615848406546081,0.5757575757575758,1.0,0.553680981595092,0.7192498621070049,0.5645035183737295,-0.2151496328132119,False,-21.5%
HELI.CA,0.7732696897374701,0.4920273348519362,0.526829268292683,0.3512195121951219,0.6266924564796905,0.4098671726755218,-0.3459835547122075,True,-34.6%
